grouping,group,year,model,n,councils,financial_years,MAE,median_AE,q25_AE,q75_AE,p90_AE,RMSE,bias,mean_AE_difference_vs_persistence,median_AE_difference_vs_persistence
any_declaration_group,no new listed declaration,2022,persistence,14,14,1,9.936428571428573,7.75,5.955,12.944999999999999,17.785000000000004,12.668129019596492,-7.517857142857143,0.0,0.0
any_declaration_group,no new listed declaration,2022,tree_level,14,14,1,11.060540344960364,10.693233571893298,7.273657635467979,14.160775862068965,15.59044827586207,13.044860339157589,-8.894321365501307,1.1241117735317945,1.3382335718932985
any_declaration_group,no new listed declaration,2022,ridge_level,14,14,1,10.145522919727537,10.404985191166395,3.8997491121319783,13.322272443428677,16.087863630371587,12.700096913590462,-7.70711289201644,0.20909434829896487,0.09398469615490868
any_declaration_group,no new listed declaration,2022,tree_change,14,14,1,9.552484950013849,9.77715081967213,2.4234999999999993,12.859543010752688,17.805600000000005,12.26100418269005,-6.49861375563446,-0.38394362141472155,-0.6687508196721317
any_declaration_group,no new listed declaration,2022,ridge_change,14,14,1,10.428437581019693,10.57193895426088,4.162320001353105,13.591119550903471,15.835528863075258,12.905672949006828,-8.079480792215108,0.49200900959112115,0.4953407994774901
any_declaration_group,no new listed declaration,2023,persistence,50,50,1,4.9922,3.8450000000000006,2.0749999999999997,7.1825,10.174999999999999,6.535107191163737,-0.49179999999999985,0.0,0.0
any_declaration_group,no new listed declaration,2023,tree_level,50,50,1,5.428819433744789,3.2958333333333334,2.1447776610644285,8.105546218487397,11.059856060606064,6.975327050882008,-1.5772240428611644,0.43661943374479045,0.19500000000000028
any_declaration_group,no new listed declaration,2023,ridge_level,50,50,1,6.002264408705985,4.576138134672543,2.5328252977049486,8.251023279565679,10.823381622246675,7.777622627097991,-2.148065534150121,1.0100644087059845,0.7339793036539836
any_declaration_group,no new listed declaration,2023,tree_change,50,50,1,5.295302978448387,3.672738853503184,1.9937150906418428,7.913869426751592,10.263253781847137,7.097707877229743,-1.1852758275419686,0.30310297844838674,-0.0472611464968154
any_declaration_group,no new listed declaration,2023,ridge_change,50,50,1,5.8370954712025505,4.735344274386886,2.3929423415945488,8.200031910948807,10.66884500260976,7.41604589676557,-2.521134105121383,0.8448954712025509,1.400952553189137
