target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
cash_cover_months,long,2023,2023-24,baseline,persistence,103,717,,3.858912621359224,5.334434359437337,0.47608236530226067
cash_cover_months,long,2023,2023-24,baseline,training_mean,103,717,,5.468758620736349,7.550028672804724,-0.04950247645214323
cash_cover_months,long,2023,2023-24,fiscal_only,ridge,103,717,0.1,3.619805805723206,4.905121094018679,0.55701835395959
cash_cover_months,long,2023,2023-24,fiscal_only,tree,103,717,,4.01507394500098,5.315845702071015,0.47972734670138506
cash_cover_months,long,2023,2023-24,fiscal_plus_fire,ridge,103,717,0.1,3.625472727908864,4.904221731900417,0.5571807819119946
cash_cover_months,long,2023,2023-24,fiscal_plus_fire,tree,103,717,,4.01507394500098,5.315845702071016,0.47972734670138495
cash_cover_months,long,2023,2023-24,fiscal_plus_disaster,ridge,103,717,10.0,3.6293080117310086,4.894166416705714,0.5589947790342523
cash_cover_months,long,2023,2023-24,fiscal_plus_disaster,tree,103,717,,4.015073945000981,5.315845702071016,0.47972734670138495
cash_cover_months,short_2017_onward,2021,2021-22,baseline,persistence,103,102,,4.032728155339806,5.4714507112138655,0.513935787586933
cash_cover_months,short_2017_onward,2021,2021-22,baseline,training_mean,103,102,,5.674449571673329,8.04231159391318,-0.050147867532137624
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_only,ridge,103,102,10.0,4.423549277857783,6.522769091264018,0.3091994527901405
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_only,tree,103,102,,4.622374858151557,6.445507509061442,0.32546746637320734
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_plus_fire,ridge,103,102,10.0,4.382245112691446,6.413820983870065,0.33208325422839724
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_plus_fire,tree,103,102,,4.622374858151556,6.445507509061442,0.32546746637320734
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_plus_disaster,ridge,103,102,10.0,4.376056457460606,6.4289761153242,0.32892310207899933
cash_cover_months,short_2017_onward,2021,2021-22,fiscal_plus_disaster,tree,103,102,,4.622374858151556,6.445507509061442,0.32546746637320734
cash_cover_months,short_2017_onward,2022,2022-23,baseline,persistence,101,204,,3.812163366336634,5.006712787996246,0.5396387188047296
cash_cover_months,short_2017_onward,2022,2022-23,baseline,training_mean,101,204,,5.389837856726849,7.593247504508509,-0.0588843873575664
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_only,ridge,101,204,10.0,3.7914891057462055,5.5945660641546,0.4251874441433383
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_only,tree,101,204,,4.064160200664409,5.608951439381088,0.4222275987648777
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_plus_fire,ridge,101,204,10.0,3.7743561607515512,5.563689521877243,0.4315147437212583
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_plus_fire,tree,101,204,,4.064160200664409,5.608951439381089,0.4222275987648777
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_plus_disaster,ridge,101,204,10.0,3.755595833442494,5.542890685762693,0.43575715552944205
cash_cover_months,short_2017_onward,2022,2022-23,fiscal_plus_disaster,tree,101,204,,4.064160200664409,5.608951439381088,0.4222275987648777
cash_cover_months,short_2017_onward,2023,2023-24,baseline,persistence,103,307,,3.858912621359224,5.334434359437337,0.47608236530226067
cash_cover_months,short_2017_onward,2023,2023-24,baseline,training_mean,103,307,,5.477499067075678,7.438246573486122,-0.018655671504453464
cash_cover_months,short_2017_onward,2023,2023-24,fiscal_only,ridge,103,307,10.0,3.685145737007516,4.90594893349275,0.556868816922112
