council_key,year_start,_merge
walgett,2012,both
walgett,2013,both
walgett,2014,both
walgett,2015,both
walgett,2016,both
walgett,2017,both
walgett,2018,both
walgett,2019,both
walgett,2020,both
walgett,2021,both
walgett,2022,both
walgett,2023,both
walgett,2024,both
warren,2012,both
warren,2013,both
warren,2014,both
warren,2015,both
warren,2016,both
warren,2017,both
warren,2018,both
warren,2019,both
warren,2020,both
warren,2021,both
warren,2022,both
warren,2023,both
warren,2024,both
warrumbungle,2012,both
warrumbungle,2013,both
warrumbungle,2014,both
warrumbungle,2015,both
warrumbungle,2016,both
warrumbungle,2017,both
warrumbungle,2018,both
warrumbungle,2019,both
warrumbungle,2020,both
warrumbungle,2021,both
warrumbungle,2022,both
warrumbungle,2023,both
warrumbungle,2024,both
waverley,2012,both
waverley,2013,both
waverley,2014,both
waverley,2015,both
waverley,2016,both
waverley,2017,both
waverley,2018,both
waverley,2019,both
waverley,2020,both
waverley,2021,both
waverley,2022,both
waverley,2023,both
waverley,2024,both
weddin,2012,both
weddin,2013,both
weddin,2014,both
weddin,2015,both
weddin,2016,both
weddin,2017,both
weddin,2018,both
weddin,2019,both
weddin,2020,both
weddin,2021,both
weddin,2022,both
weddin,2023,both
weddin,2024,both
wentworth,2012,both
wentworth,2013,both
wentworth,2014,both
wentworth,2015,both
wentworth,2016,both
wentworth,2017,both
wentworth,2018,both
wentworth,2019,both
wentworth,2020,both
wentworth,2021,both
wentworth,2022,both
wentworth,2023,both
wentworth,2024,both
willoughby,2012,both
willoughby,2013,both
willoughby,2014,both
willoughby,2015,both
willoughby,2016,both
willoughby,2017,both
willoughby,2018,both
willoughby,2019,both
willoughby,2020,both
willoughby,2021,both
willoughby,2022,both
willoughby,2023,both
willoughby,2024,both
wingecarribee,2012,both
wingecarribee,2013,both
wingecarribee,2014,both
wingecarribee,2015,both
wingecarribee,2016,both
wingecarribee,2017,both
wingecarribee,2018,both
wingecarribee,2019,both
wingecarribee,2020,both
wingecarribee,2021,both
wingecarribee,2022,both
wingecarribee,2023,both
wingecarribee,2024,both
wollondilly,2012,both
wollondilly,2013,both
wollondilly,2014,both
wollondilly,2015,both
wollondilly,2016,both
wollondilly,2017,both
wollondilly,2018,both
wollondilly,2019,both
wollondilly,2020,both
wollondilly,2021,both
wollondilly,2022,both
wollondilly,2023,both
wollondilly,2024,both
wollongong,2012,both
wollongong,2013,both
wollongong,2014,both
wollongong,2015,both
wollongong,2016,both
wollongong,2017,both
wollongong,2018,both
wollongong,2019,both
wollongong,2020,both
wollongong,2021,both
wollongong,2022,both
wollongong,2023,both
wollongong,2024,both
woollahra,2012,both
woollahra,2013,both
woollahra,2014,both
woollahra,2015,both
woollahra,2016,both
woollahra,2017,both
woollahra,2018,both
woollahra,2019,both
woollahra,2020,both
woollahra,2021,both
woollahra,2022,both
woollahra,2023,both
woollahra,2024,both
yassvalley,2012,both
yassvalley,2013,both
yassvalley,2014,both
yassvalley,2015,both
yassvalley,2016,both
yassvalley,2017,both
yassvalley,2018,both
yassvalley,2019,both
yassvalley,2020,both
yassvalley,2021,both
yassvalley,2022,both
yassvalley,2023,both
yassvalley,2024,both
