target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
maintenance_ratio_pct,short_2017_onward,2021,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,-7.105427357601002e-15,-1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2022,ridge,fiscal_plus_fire,fiscal_only,100,-0.011040620859407824,-0.03308514414538877,-0.002150201504455218
maintenance_ratio_pct,short_2017_onward,2022,ridge,fiscal_plus_disaster,fiscal_only,100,0.14383534371518536,0.9599218380751395,0.061623346623302044
maintenance_ratio_pct,short_2017_onward,2022,ridge,fiscal_plus_disaster,fiscal_plus_fire,100,0.15487596457459318,0.9930069822205283,0.06377354812775726
maintenance_ratio_pct,short_2017_onward,2022,tree,fiscal_plus_fire,fiscal_only,100,-7.105427357601002e-15,0.0,-1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2022,tree,fiscal_plus_disaster,fiscal_only,100,-7.105427357601002e-15,0.0,-1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2022,tree,fiscal_plus_disaster,fiscal_plus_fire,100,0.0,0.0,0.0
maintenance_ratio_pct,short_2017_onward,2023,ridge,fiscal_plus_fire,fiscal_only,102,-0.0020895727631362604,-0.0007012849787209063,-4.063921993135988e-05
maintenance_ratio_pct,short_2017_onward,2023,ridge,fiscal_plus_disaster,fiscal_only,102,-0.21188059108244062,-0.20746506457370373,-0.01206266530987532
maintenance_ratio_pct,short_2017_onward,2023,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-0.20979101831930436,-0.20676377959498282,-0.01202202608994396
maintenance_ratio_pct,short_2017_onward,2023,tree,fiscal_plus_fire,fiscal_only,102,0.0,0.0,0.0
maintenance_ratio_pct,short_2017_onward,2023,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,-1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2023,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,0.0,-1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2024,ridge,fiscal_plus_fire,fiscal_only,101,-0.0008354633814775525,0.005507007047931722,0.0002955156548952731
maintenance_ratio_pct,short_2017_onward,2024,ridge,fiscal_plus_disaster,fiscal_only,101,0.21899929543257812,-0.18737571474434134,-0.010084136725584392
maintenance_ratio_pct,short_2017_onward,2024,ridge,fiscal_plus_disaster,fiscal_plus_fire,101,0.21983475881405568,-0.19288272179227306,-0.010379652380479665
maintenance_ratio_pct,short_2017_onward,2024,tree,fiscal_plus_fire,fiscal_only,101,-3.552713678800501e-15,0.0,0.0
maintenance_ratio_pct,short_2017_onward,2024,tree,fiscal_plus_disaster,fiscal_only,101,0.0,0.0,2.220446049250313e-16
maintenance_ratio_pct,short_2017_onward,2024,tree,fiscal_plus_disaster,fiscal_plus_fire,101,3.552713678800501e-15,0.0,2.220446049250313e-16
operating_ratio_pct,long,2016,ridge,fiscal_plus_fire,fiscal_only,102,0.16853565421917516,0.18312694785851136,0.05568409240781658
operating_ratio_pct,long,2016,ridge,fiscal_plus_disaster,fiscal_only,102,0.6646263213398989,0.6420521421274152,0.19115859952527692
operating_ratio_pct,long,2016,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,0.4960906671207237,0.4589251942689039,0.13547450711746034
operating_ratio_pct,long,2016,tree,fiscal_plus_fire,fiscal_only,102,0.0,0.0,0.0
