council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Bogan,2020,4487000.0,4574000.0,98.1,1.99,9.95,2580,-3.81,5.44,0.9809794490599038,False,100,0.981,2.0550940096231152e-05
Bourke,2020,4711000.0,4892000.0,96.3,1.79,13.19,2590,1.77,5.1,0.9630008176614882,False,100,0.963,-8.176614881838518e-07
Brewarrina,2020,1655000.0,2388000.0,69.3,1.88,15.31,1611,28.4,5.33,0.6930485762144054,False,100,0.693,-4.857621440546023e-05
Broken Hill,2020,4919000.0,5829000.0,84.39,7.97,7.48,17479,-20.38,3.62,0.8438840281351861,False,100,0.8439,1.5971864813835168e-05
Burwood,2020,8616000.0,6175000.0,139.53,9.66,2.45,40612,-9.5,2.96,1.3953036437246964,False,100,1.3953,-3.64372469641161e-06
Byron,2020,23865000.0,35333000.0,67.54,11.05,8.76,35081,-7.09,3.08,0.6754309002915122,False,100,0.6754000000000001,-3.0900291512092615e-05
Cabonne,2020,5363000.0,5363000.0,100.0,10.62,21.48,13634,-0.52,6.02,1.0,False,100,1.0,0.0
Camden,2020,16190000.0,16500000.0,98.12,1.27,17.32,101437,-14.31,2.77,0.9812121212121212,False,100,0.9812000000000001,-1.2121212121130043e-05
Campbelltown,2020,9669000.0,10483000.0,92.24,0.99,17.98,170943,0.52,1.9,0.9223504721930745,False,100,0.9224,4.9527806925464546e-05
Canada Bay,2020,16687000.0,17287000.0,96.53,2.3,15.28,96074,1.1,1.59,0.9652918377971886,False,100,0.9653,8.162202811412556e-06
Canterbury-Bankstown,2020,38201000.0,42851000.0,89.15,1.49,14.28,377917,-2.83,4.12,0.8914844461039416,False,100,0.8915000000000001,1.5553896058451144e-05
Carrathool,2020,3968000.0,4030000.0,98.46,0.48,17.19,2799,13.52,8.32,0.9846153846153847,False,100,0.9845999999999999,-1.5384615384750333e-05
Central Coast,2020,96056000.0,86933000.0,110.0,3.0,7.4,343968,-15.9,0.32,1.1049428870509472,False,100,1.1,-0.004942887050947142
Central Darling,2020,5068000.0,6931000.0,73.12,22.06,4.41,1839,12.81,3.95,0.731207617948348,False,100,0.7312000000000001,-7.617948347915515e-06
Cessnock,2020,12127000.0,11967000.0,101.34,3.59,9.12,59985,2.43,2.63,1.0133701011113896,False,100,1.0134,2.989888861049117e-05
Clarence Valley,2020,20717000.0,19652000.0,105.42,4.04,13.98,51662,-1.43,3.23,1.0541929574598006,False,100,1.0542,7.042540199453384e-06
Cobar,2020,4548000.0,5000000.0,90.96,3.4,9.85,4658,4.43,6.99,0.9096,False,100,0.9096,0.0
Coffs Harbour,2020,14984000.0,15713000.0,95.36,1.55,8.7,77277,-0.09,8.77,0.9536052949786801,False,100,0.9536,-5.29497868007045e-06
Coolamon,2020,3927000.0,3202000.0,122.64,0.0,25.54,4341,3.63,10.19,1.226420986883198,False,100,1.2264,-2.0986883197959827e-05
Coonamble,2020,3773000.0,2527000.0,149.31,2.83,18.72,3958,-12.2,8.0,1.4930747922437673,False,100,1.4931,2.5207756232825673e-05
Cootamundra-Gundagai Regional,2020,7583000.0,0.0,0.0,4.0,6.66,11235,-19.5,2.91,,True,100,0.0,
Cowra,2020,9162000.0,9147000.0,100.16,0.14,11.97,12743,3.01,4.21,1.001639881928501,False,100,1.0016,-3.988192850101768e-05
Cumberland,2020,16833000.0,16437000.0,102.41,5.02,6.39,241521,1.36,2.14,1.024091987588976,False,100,1.0241,8.012411023994304e-06
Dubbo Regional,2020,15014000.0,15014000.0,100.0,1.24,24.02,53719,-4.38,4.12,1.0,False,100,1.0,0.0
Dungog,2020,2593000.0,3430000.0,75.6,7.78,19.27,9423,-13.55,6.52,0.7559766763848397,False,100,0.7559999999999999,2.332361516022008e-05
Edward River,2020,4639000.0,4101000.0,113.12,3.14,27.92,9084,4.29,4.56,1.1311875152401853,False,100,1.1312,1.2484759814634927e-05
Eurobodalla,2020,25611000.0,25960000.0,98.66,6.01,16.78,38473,8.51,3.47,0.9865562403697997,False,100,0.9865999999999999,4.3759630200201904e-05
Fairfield,2020,44532000.0,40667000.0,109.5,2.18,5.06,211695,3.22,1.91,1.095040204588487,False,100,1.095,-4.020458848708053e-05
Federation,2020,4798000.0,5336000.0,89.92,8.01,10.55,12437,-10.35,2.35,0.8991754122938531,False,100,0.8992,2.4587706146883548e-05
Forbes,2020,5598000.0,8332000.0,67.19,1.7,12.43,9906,-6.67,3.03,0.671867498799808,False,100,0.6718999999999999,3.25012001919367e-05
Georges River,2020,28346000.0,27974000.0,101.33,1.54,10.23,159471,-8.19,2.44,1.0132980624865946,False,100,1.0133,1.937513405492197e-06
Gilgandra,2020,4616000.0,5077000.0,90.92,1.1,14.08,4239,7.22,4.04,0.909198345479614,False,100,0.9092,1.6545203860296454e-06
Glen Innes Severn,2020,3613000.0,3532000.0,102.29,16.02,8.21,8871,-1.97,2.43,1.022933182332956,False,100,1.0229000000000001,-3.3182332955794536e-05
Goulburn Mulwaree,2020,19917000.0,14762000.0,134.92,2.77,22.79,31132,7.93,3.81,1.3492074244682293,False,100,1.3492,-7.424468229322301e-06
Greater Hume,2020,5286000.0,5127000.0,103.1,0.05,10.76,10764,-10.51,5.11,1.0310122878876535,False,100,1.031,-1.2287887653616991e-05
Griffith,2020,7191000.0,7156000.0,100.49,1.53,14.23,27029,4.96,2.8,1.0048910005589715,False,100,1.0049,8.99944102839001e-06
Gunnedah,2020,6546000.0,6632000.0,98.7,0.79,20.98,12681,10.59,3.32,0.9870325693606755,False,100,0.987,-3.256936067552729e-05
Gwydir,2020,3986000.0,3986000.0,100.0,0.92,1.92,5353,-4.11,1.68,1.0,False,100,1.0,0.0
